question_content,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
What is byte stuffing used for in PPP?,To decrease transmission overhead.,To escape special flag and escape bytes.,To reduce the data rate.,To increase frame size.,To ensure synchronous data transfer.,b,Byte stuffing escapes special flag and escape bytes in PPP.
What is the frame rate for SONET's STS-1 signal?,125 microseconds,100 microseconds,2430 microseconds,51.84 milliseconds,6480 microseconds,a,SONET's STS-1 signal frame rate is 125 microseconds.
Which framing method uses a count field to define payload length?,Sentinel-based,Clock-based,Counter-based,Byte stuffing,SONET framing,c,Counter-based framing includes payload length in the header using a count field.
What is the solution to count field corruption in counter-based framing?,Increasing frame size.,Switching to NRZI encoding.,Using CRC and waiting for SYN.,Reducing baud rate.,Adding parity bits.,c,Using CRC and waiting for SYN catches errors caused by count field corruption.
What special pattern indicates the start of a frame in SONET?,7D 5E,2 bytes overhead,1111110,STS-n,Flag bit,b,SONET uses a 2-byte overhead pattern to indicate frame start.
What is the primary multiplexing method in SONET?,Byte interleaving,Bit stuffing,Counter-based,Manchester encoding,Signal modulation,a,SONET uses byte interleaving for multiplexing.
What is the line rate of SONET OC-12?,155.52 Mbps,622.08 Mbps,2488.32 Mbps,9953.28 Mbps,51.84 Mbps,b,The line rate of SONET OC-12 is 622.08 Mbps.
What does the Cyclic Redundancy Check (CRC) use for error detection?,Modulo-3 arithmetic,Binary addition with carry,Modulo-2 arithmetic,Polynomial multiplication,Subtraction of polynomial degrees,c,"CRC uses modulo-2 arithmetic, resembling XOR operations, for error detection."
"In CRC, what does the receiver check to detect errors?",If the remainder is equal to the message,If the remainder of division by C(x) is zero,If the message length matches the divisor length,If the degree of the polynomial matches the divisor,If the remainder exceeds the divisor,b,The receiver checks if the remainder of dividing P(x) by C(x) is zero to detect errors.
Which of the following is true for detecting single-bit errors using CRC?,The CRC polynomial must have a degree less than the message polynomial.,The x^0 term in C(x) must have a zero coefficient.,The x^k term in C(x) must have a non-zero coefficient.,Odd number of errors cannot be detected.,Only burst errors can be detected.,c,Single-bit errors can be detected if the x^k and x^0 terms in C(x) have non-zero coefficients.
What is the degree of the polynomial used for CRC-32?,10,12,16,32,8,d,CRC-32 uses a polynomial with a degree of 32.
Which type of errors can CRC detect when the burst length is less than or equal to the degree of C(x)?,Single-bit errors only,Any odd number of errors,All burst errors,No errors,Errors exceeding the message length,c,CRC can detect any burst error where the length of the burst is less than or equal to the degree of C(x).
What is the remainder R(x) in CRC calculation?,The original message bits,A k-bit binary number,The divisor polynomial,A product of T(x) and C(x),The shifted message bits,b,R(x) is a k-bit binary number obtained as the remainder of T(x) divided by C(x).
What does the sender transmit in CRC to ensure error detection?,Only the original message,The divisor polynomial C(x),A polynomial P(x) divisible by C(x),A shifted version of the message,An appended series of zeros,c,"The sender transmits P(x), which is evenly divisible by the divisor polynomial C(x)."
Which arithmetic operation resembles modulo-2 arithmetic in CRC?,Addition with carry,Binary subtraction,XOR operation,Polynomial multiplication,Modulo division,c,"Modulo-2 arithmetic resembles XOR operations: 1+1=0, 1+0=1, etc."
What is the primary purpose of the generator polynomial in CRC?,To divide the message bits into smaller segments,To detect and correct all types of errors,To generate the message polynomial,To ensure that P(x) is divisible by C(x),To append redundant bits to the message,d,"The generator polynomial ensures that P(x) is divisible by C(x), allowing error detection."
