question_content,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
What is the minimum frame size in Ethernet and why?,46 bytes; ensures payload size,64 bytes; allows for collision detection,128 bytes; reduces transmission errors,512 bytes; ensures sufficient signal strength,256 bytes; standard practice,b,The minimum frame size is 64 bytes to allow collisions to be detected before the frame transmission completes.
"In a shared bus LAN, what happens if the cable is cut?",The network continues to operate normally,All communication stops,Only one segment of the network remains operational,The hub reroutes traffic automatically,The switch creates a bypass,b,"In a bus LAN, a cable cut disconnects the entire network as the signal cannot propagate."
What is the main difference between a hub-based and switch-based LAN?,Hubs operate at higher speeds than switches,"Switches eliminate collisions, hubs do not",Hubs provide more security than switches,"Switches use coaxial cables, hubs do not",There is no difference,b,Switches eliminate collisions by creating separate collision domains for each port.
Which of the following is true about the exponential backoff algorithm in Ethernet?,The wait time decreases after each collision,The wait time is randomly chosen from an increasing interval,The algorithm guarantees no collisions,The wait time is fixed regardless of collisions,It applies only to wired connections,b,"In Ethernet, the exponential backoff algorithm increases the interval range for randomly chosen wait times after each collision."
What is the capacity of a switch with N 10-Mbps ports?,10 Mbps,N × 10 Mbps,100 Mbps,N × 100 Mbps,Depends on the connected devices,b,The total capacity of a switch with N 10-Mbps ports is N × 10 Mbps.
Which configuration is used in a hub-based LAN?,Mesh,Star,Ring,Bus,Hybrid,b,A hub-based LAN typically uses a star configuration.
What type of collision domain exists in a switch-based LAN?,Single collision domain,Multiple shared collision domains,No collision domains,One collision domain per port,Depends on the number of hosts,d,"In a switch-based LAN, each port is its own collision domain."
What is the maximum Ethernet cable length for a 10 Mbps network?,500 meters,1000 meters,2500 meters,2000 meters,100 meters,c,The maximum Ethernet cable length for a 10 Mbps network is 2500 meters.
What is the role of 'store and forward' in switches?,It increases collision detection efficiency,It buffers frames for error checking,It compresses data for faster transmission,It routes packets to external networks,It allows simultaneous connections,b,Store and forward in switches buffer frames to perform error checking before forwarding them.
What layer do Ethernet switches operate at?,Layer 1,Layer 2,Layer 3,Layer 4,None of the above,b,"Ethernet switches operate at Layer 2, handling data link layer functions."
What is the primary purpose of a spanning tree in a network?,To increase bandwidth,To avoid loops,To reduce latency,To create subnets,None of the above,b,A spanning tree prevents loops by creating a loop-free topology in a network.
Which protocol specification defines spanning tree bridges?,IEEE 802.3,IEEE 802.1D,IEEE 802.5,IEEE 802.11,None of the above,b,Spanning tree bridges are defined in the IEEE 802.1D specification.
What does a learning bridge use to determine which port a host is connected to?,IP address,MAC address,Subnet mask,Broadcast address,None of the above,b,Learning bridges use MAC addresses to learn and forward frames to the correct port.
What happens when a frame with an unknown destination arrives at a bridge?,It is dropped,It is forwarded to all ports,It is forwarded to a specific port,It triggers an error,None of the above,b,Frames with unknown destinations are forwarded to all ports to ensure delivery.
What is the role of a designated bridge in a spanning tree?,To generate loops,To forward frames for a specific LAN,To create subnets,To route data at layer 3,None of the above,b,A designated bridge forwards frames for a specific LAN in the spanning tree.
What unique identifier is used in a spanning tree algorithm to select the root bridge?,IP address,MAC address,Bridge ID,Subnet mask,None of the above,c,The bridge ID is used to select the root bridge in the spanning tree algorithm.
What is the first step in the spanning tree algorithm?,Each bridge assumes itself as the root,Forwarding frames,Blocking redundant links,Broadcasting frames,None of the above,a,"Initially, each bridge assumes itself to be the root and sends configuration messages."
What is the backward learning method in a bridge used for?,To learn destination addresses,To learn source addresses,To calculate bandwidth,To measure latency,None of the above,b,Backward learning allows the bridge to learn source addresses and update its forwarding table.
Why might a forwarding table in a bridge be incomplete?,Limited memory,Dynamic changes in network topology,Hardware failure,Software bugs,None of the above,b,The forwarding table can be incomplete due to dynamic changes in the network.
"In the Spanning Tree Algorithm, what happens when a bridge does not receive a config message after a period of time?",It starts forwarding all messages.,It generates config messages claiming to be the root.,It stops forwarding messages entirely.,It initiates a new spanning tree.,It disconnects from the network.,b,"When a bridge does not receive config messages, it assumes itself to be the root and starts generating config messages."
Which protocol is used for adding VLAN ID information to Ethernet frames?,802.1q,802.3,802.1d,802.11,802.2,a,The 802.1q protocol adds VLAN ID information to Ethernet frames.
What is the function of a trunk port in a VLAN spanning multiple switches?,It isolates VLANs from each other.,It carries frames between VLANs across switches.,It assigns dynamic memberships to VLANs.,It routes packets between VLANs.,It acts as a backup for failed switches.,b,A trunk port carries frames between VLANs that span multiple switches.
What is the significance of the Tag Protocol Identifier in the 802.1Q VLAN frame format?,It defines the VLAN priority.,It adds encryption to VLAN frames.,It identifies the frame as a VLAN frame.,It indicates the source MAC address.,It determines the destination VLAN.,c,The Tag Protocol Identifier identifies the frame as belonging to a VLAN.
How are ports dynamically assigned to VLANs?,Based on MAC addresses of endpoints.,Using ARP requests.,Via DHCP configuration.,By broadcasting all traffic.,Through manual VLAN tagging.,a,Ports can be dynamically assigned to VLANs based on the MAC addresses of connected endpoints.
Which issue arises in a single broadcast domain in large networks?,Reduced bandwidth.,Increased efficiency.,Layer-2 broadcast traffic crosses the entire LAN.,Enhanced security.,Decreased collision rates.,c,"In a single broadcast domain, layer-2 broadcast traffic must cross the entire LAN, causing efficiency and privacy issues."
What does a designated bridge do in the Spanning Tree Algorithm?,It generates configuration messages.,It stops forwarding config messages.,It forwards configuration messages to designated ports.,It claims to be the root bridge.,It isolates its LAN segment.,c,A designated bridge forwards configuration messages to designated ports in the Spanning Tree Algorithm.
What is the purpose of VLANs in a network?,To increase broadcast traffic.,To create multiple virtual LANs on a single physical LAN.,To enhance collision domains.,To eliminate MAC addresses.,To route between external networks.,b,"VLANs allow the creation of multiple virtual LANs on a single physical LAN, improving traffic isolation and management."
Which layer handles forwarding between VLANs?,Layer-2.,Layer-3.,Layer-4.,Layer-7.,Layer-1.,b,"Forwarding between VLANs is handled at Layer-3, similar to routing between different subnets."
What happens to a bridge's forwarding behavior upon learning it is not the root?,It stops forwarding config messages.,It starts generating its own config messages.,It disconnects from the network.,It forwards all messages indiscriminately.,It starts sending priority packets.,a,"When a bridge learns it is not the root, it stops forwarding configuration messages."
